Arquivo;Reuniao;Data (AAAA/MM);Tema_Classificado;Ocorrencias;Relevancia_(%);Palavras_Chave_Ativadas;Trecho_Prova_(Auditoria)
11_2015_Pleno_ordin_ata.pdf;11ª Reunião Ordinária;2015;Composição e Governança do Conselho;4;6.6;conselheiro, conselho;RELATÓRIO 11ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 24/02/2015 Realizada em PMSP- Viaduto do Chá- 7 andar Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h10 - Lançamento da etapa participativa do Plano de Mobilidade da Cidade de São Paulo - PlanMob Lançamento da Rede da Noturna 09h40 – Apresentação da proposta da Nova Rede de Transporte Coletivo 10h10 – Debate dos Conselheiros e Palavra Livre 11h30 – Previsão de Encerramento Composição da Mesa: Sr Fernando Haddad, Prefeito da Cidade de São Paulo, Sr Alexandre Padilha- Secretário de Relações Governamentais, Sr Percival Maricato, Conselheiro da Cidade e Coordenador do GT de Mobilidade Urbana, Sr. [...] Josias Lech, Secretário Executivo do CMTT, Conselheira Lurdinha Rodrigues representante do Sindicato dos Transportadores Autônomos de Escolares e das Microempresas de Transporte Escolar do Estado de São Paulo, Conselheiro Marcos Kaue Ferreira de Queiroz, representante do movimento Estudantil Secundarista.
11_2015_Pleno_ordin_ata.pdf;11ª Reunião Ordinária;2015;Mobilidade Urbana: Organização Geral e Prestação de Contas;4;6.6;planmob, plano de mobilidade;RELATÓRIO 11ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 24/02/2015 Realizada em PMSP- Viaduto do Chá- 7 andar Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h10 - Lançamento da etapa participativa do Plano de Mobilidade da Cidade de São Paulo - PlanMob Lançamento da Rede da Noturna 09h40 – Apresentação da proposta da Nova Rede de Transporte Coletivo 10h10 – Debate dos Conselheiros e Palavra Livre 11h30 – Previsão de Encerramento Composição da Mesa: Sr Fernando Haddad, Prefeito da Cidade de São Paulo, Sr Alexandre Padilha- Secretário de Relações Governamentais, Sr Percival Maricato, Conselheiro da Cidade e Coordenador do GT de Mobilidade Urbana, Sr. [...] Secretário Padilha a aplicação da lei das calçadas (2013) / Solicito apresentarmos (Butantã) contribuição ao plano de mobilidade à D.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Mobilidade Ativa: Acessibilidade e Pedestres;17;29.8;calcada, pedestre;RELATÓRIO 12ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 16/04/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Apresentação de estudo e proposta sobre calçadas e acessibilidade 10h10 – Debate dos Conselheiros e Palavra Livre 11h30 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT José Evaldo Gonçalves – Conselheiro Secretaria Municipal de Transportes Bárbara Lopes – Conselheira Regional - Oeste Jorge Miguel – Conselheiro Sindicato das Empresas de Transporte de Passageiros por Fretamento e para Turismo de São Paulo José Pivato - Secretaria Municipal de Relações Governamentais Marianne Pinotti – Secretária Pessoa com Deficiência e Mobilidade Reduzida Tereza Herling - Secretaria de Desenvolvimento Urbano Tuca Munhoz – Secretário Adjunto Pessoa com Deficiência e Mobilidade Reduzida Manoel Victor de Azevedo Neto ABERTURA O Sr José Evaldo realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia e Letícia Organização: Corrida Amiga e Sampapé Realizaram apresentação sobre mobilidade a pé e contribuições ao PlanMob referindo-se ao tema. [...] Sr Tuca Munhoz, representante do Grupo de Trabalho sobre calçadas realizou apresentação disponível em: http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/chamadas/12reunao_142921 7230.pdf O Secretário Jilmar Tatto fez considerações sobre o plano de calçadas que será lançado pela prefeitura de São Paulo em breve, destacou a importância das calçadas na cidade A Sra Marianne Pinotti fez considerações sobre a reforma das calçadas e comentou que quando há acessibilidade e condições adequadas de deslocamento nas calçadas às pessoas com deficiência, esta adequação atenderá a todos que farão uso destas.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Mobilidade Ativa: Bicicletas;9;15.8;bicicleta, ciclofaixa, ciclovia;Nome: Daniela Floriano Teixeira Organização: Pimp my Carroça Resumo da Fala: Como um movimento que representa os catadores/ carroceiros em situação de rua, viemos aqui solicitar uma remodelagem no Decreto 55790 de Dezembro de 2014 que regulamenta o uso das ciclovias da cidade de São Paulo, para que o mesmo passe a incluir as carroças entre os tipos de usuários dessas faixas voltadas para transportes não motorizados. [...]  Sr Rene Rodrigues, componente do GT de ciclistas informou que o tráfego das carroças nas ciclovias é apoiado pelos ciclistas.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Composição e Governança do Conselho;6;10.5;conselho, representante;RELATÓRIO 12ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 16/04/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Apresentação de estudo e proposta sobre calçadas e acessibilidade 10h10 – Debate dos Conselheiros e Palavra Livre 11h30 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT José Evaldo Gonçalves – Conselheiro Secretaria Municipal de Transportes Bárbara Lopes – Conselheira Regional - Oeste Jorge Miguel – Conselheiro Sindicato das Empresas de Transporte de Passageiros por Fretamento e para Turismo de São Paulo José Pivato - Secretaria Municipal de Relações Governamentais Marianne Pinotti – Secretária Pessoa com Deficiência e Mobilidade Reduzida Tereza Herling - Secretaria de Desenvolvimento Urbano Tuca Munhoz – Secretário Adjunto Pessoa com Deficiência e Mobilidade Reduzida Manoel Victor de Azevedo Neto ABERTURA O Sr José Evaldo realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia e Letícia Organização: Corrida Amiga e Sampapé Realizaram apresentação sobre mobilidade a pé e contribuições ao PlanMob referindo-se ao tema. [...] Devemos ainda convidar os sindicatos de moto boys para participar do conselho.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Estrutura e Organização da Rede Viária;6;10.5;cet, corredor, semaforo, via;Esta semana em uma manhã 15 motoqueiros se acidentaram já que está sendo feito este estudo temos que pensar em uma solução a este problema tal como c/ as ciclofaixas e o grupo de trabalhado dos agravos da USP e da CET devem mapear estes agravos. [...]  Alteração dos horários ou itinerários de linhas noturnas na região Sul da capila, em especial (Jardim Angela, Capelinha, Parelheiros etc)  Corredor de ônibus central urgente na Brigadeiro Faria Lima.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Mobilidade Urbana: Organização Geral e Prestação de Contas;5;8.8;planmob, plano de mobilidade;RELATÓRIO 12ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 16/04/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Apresentação de estudo e proposta sobre calçadas e acessibilidade 10h10 – Debate dos Conselheiros e Palavra Livre 11h30 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT José Evaldo Gonçalves – Conselheiro Secretaria Municipal de Transportes Bárbara Lopes – Conselheira Regional - Oeste Jorge Miguel – Conselheiro Sindicato das Empresas de Transporte de Passageiros por Fretamento e para Turismo de São Paulo José Pivato - Secretaria Municipal de Relações Governamentais Marianne Pinotti – Secretária Pessoa com Deficiência e Mobilidade Reduzida Tereza Herling - Secretaria de Desenvolvimento Urbano Tuca Munhoz – Secretário Adjunto Pessoa com Deficiência e Mobilidade Reduzida Manoel Victor de Azevedo Neto ABERTURA O Sr José Evaldo realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia e Letícia Organização: Corrida Amiga e Sampapé Realizaram apresentação sobre mobilidade a pé e contribuições ao PlanMob referindo-se ao tema. [...] Ainda assim informou que a regulamentação da circulação deste tipo de veículo nas ciclovias deve ser analisado a fim de verificar qual procedimento deve ser adotado para que a ciclovia seja compartilhada entre as bicicletas, carroças e outros ocupantes desta via, para que ninguém seja prejudicado no momento da circulação (dimensões das carroças devem ser regulamentadas) Sr Josias Lech comentou sobre a participação popular no PlanMob, sobre a nova rede de transportes e destacou o lançamento da rede da madrugada.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Transporte Público Coletivo;5;8.8;onibus; Alteração dos horários ou itinerários de linhas noturnas na região Sul da capila, em especial (Jardim Angela, Capelinha, Parelheiros etc)  Corredor de ônibus central urgente na Brigadeiro Faria Lima. [...] Fez considerações também quanto à acessibilidade nos ônibus e quanto ao rebaixamento das calçadas em toda a extensão das ciclovias.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Motocicletas e Motofrete;5;8.8;moto;Nome: Daniela Floriano Teixeira Organização: Pimp my Carroça Resumo da Fala: Como um movimento que representa os catadores/ carroceiros em situação de rua, viemos aqui solicitar uma remodelagem no Decreto 55790 de Dezembro de 2014 que regulamenta o uso das ciclovias da cidade de São Paulo, para que o mesmo passe a incluir as carroças entre os tipos de usuários dessas faixas voltadas para transportes não motorizados. [...] Particularmente os acidentes com motociclistas e sobretudo os trabalhadores Moto boys.
12_2015_Pleno_ordin_ata.pdf;12ª Reunião Ordinária;2015;Segurança Viária;3;5.3;acidente, seguranca;Particularmente os acidentes com motociclistas e sobretudo os trabalhadores Moto boys. [...] Nome: Élio Jovart Bueno de Camargo Organização: CMTT - Oeste Resumo da Fala: Endossou a fala de Paulo Frangetto e sugeriu a implantação de mais áreas de “Frente Segura” (contenção e segurança para motocicletas em semáforos) na cidade Frente Segura ( p/ motos e bicicletas) Sugiro implantar a área de estacionamento (Frente Segura) em todos os faróis, evitando a circulação dos Z.
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Segurança Viária;16;30.8;acidente, seguranca, velocidade;RELATÓRIO 13ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 18/06/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h10 - Palavra Livre 09h40 - Apresentação e debate da pesquisa sobre Segurança no Trânsito – Horácio Augusto Figueira – Especialista em Engenharia de Transportes 10h10 – Debate dos Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – Presidente CMTT Patricia Rodrigues – Representante da Secretaria de Política para Mulheres Horácio Augusto Figueira – Especialista em Engenharia de Transportes ABERTURA O Presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia Miloco - Ciclista região do moinho velho : Faz colocações a repeito da ciclovia do Caminho velho confome especificados Rua Abauna - ciclofaixa com descida na contramão, término brusco em frente a ilha/contramão a frente ou a esquerda, ciclista não tem como prosseguir, ver quem vem da travessa euclides pinheiro, nem parar caso um carro faça a conversão. [...] Apresentação Pesquisa sobre Segurança no Trânsito – Horácio Augusto Figueira – Especialista em Engenharia de Transportes O especialista em Engenharia de Transporte de Pessoas, Horácio Figueira organizou o trabalho juntamente com a Companhia de Engenharia de Tráfego (CET).
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Composição e Governança do Conselho;10;19.2;conselheiro, conselho;RELATÓRIO 13ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 18/06/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h10 - Palavra Livre 09h40 - Apresentação e debate da pesquisa sobre Segurança no Trânsito – Horácio Augusto Figueira – Especialista em Engenharia de Transportes 10h10 – Debate dos Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – Presidente CMTT Patricia Rodrigues – Representante da Secretaria de Política para Mulheres Horácio Augusto Figueira – Especialista em Engenharia de Transportes ABERTURA O Presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia Miloco - Ciclista região do moinho velho : Faz colocações a repeito da ciclovia do Caminho velho confome especificados Rua Abauna - ciclofaixa com descida na contramão, término brusco em frente a ilha/contramão a frente ou a esquerda, ciclista não tem como prosseguir, ver quem vem da travessa euclides pinheiro, nem parar caso um carro faça a conversão. [...] Nome: Elio Jovart Conselheiro Suplente da Região Oeste Solicita esclarecimentos sobre novo formato da Rede de ônibus especialmente na região do Butantã.
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Estrutura e Organização da Rede Viária;7;13.5;cet, engenharia de trafego, semaforo;Considerações do Presidente a Repeito da Palavra Livre Sobre as considerações da Sra Silvia Miloco fica indicado para que a equipe responsável da CET agende uma vistoria nas ruas indicadas para avaliar as condições e possíveis soluções. [...] Apresentação Pesquisa sobre Segurança no Trânsito – Horácio Augusto Figueira – Especialista em Engenharia de Transportes O especialista em Engenharia de Transporte de Pessoas, Horácio Figueira organizou o trabalho juntamente com a Companhia de Engenharia de Tráfego (CET).
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Mobilidade Ativa: Bicicletas;6;11.5;bicicleta, ciclista, ciclofaixa, ciclovia;RELATÓRIO 13ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 18/06/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h10 - Palavra Livre 09h40 - Apresentação e debate da pesquisa sobre Segurança no Trânsito – Horácio Augusto Figueira – Especialista em Engenharia de Transportes 10h10 – Debate dos Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – Presidente CMTT Patricia Rodrigues – Representante da Secretaria de Política para Mulheres Horácio Augusto Figueira – Especialista em Engenharia de Transportes ABERTURA O Presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Nome: Silvia Miloco - Ciclista região do moinho velho : Faz colocações a repeito da ciclovia do Caminho velho confome especificados Rua Abauna - ciclofaixa com descida na contramão, término brusco em frente a ilha/contramão a frente ou a esquerda, ciclista não tem como prosseguir, ver quem vem da travessa euclides pinheiro, nem parar caso um carro faça a conversão. [...] Rua Anatole France - rua sem largura suficiente para mão dupla e ciclofaixa, risco de colisão frontal ou invasão da ciclo.
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Motocicletas e Motofrete;5;9.6;moto;Ou seja, mais da metade dos motoristas cometeu ao menos uma infração. [...] Elio Jovart - Conselheiro Suplente da Região Oeste: Parabeniza a Secretaria pelo trabalho e a preocupação em melhorar a segurança infelizmente é falha em prestar atenção, na questão do pare nos cruzamentos a ideia é que se coloque um elevado para alertar ao motorista que está chegando num cruzamento, para cada ciclista morto no transito de São Paulo, são 5 de carro, 10 de moto e 12 pedestre.
13_2015_Pleno_ordin_ata.pdf;13ª Reunião Ordinária;2015;Mobilidade Ativa: Acessibilidade e Pedestres;5;9.6;pedestre;Entre as infrações mais praticadas estão à falta do uso da seta e do cinto de segurança, dirigir com braço para fora, uso de celular ao volante, desrespeito à faixa de pedestre, não parar no semáforo vermelho e não respeitar a sinalização PARE. [...] Também é necessário faixa de pedestre no entorno das escolas, programa amigo do trânsito deveria ser intensificado.
14_2015_Pleno_ordin_ata.pdf;14ª Reunião Ordinária;2015;Transporte Público Coletivo;12;50.0;bilhete unico, frota, onibus, sptrans;"RELATÓRIO 14ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 20/08/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h10 – Apresentação da minuta do edital para licitação de concessão do transporte público da cidade de São Paulo, que se encontra em consulta pública 09h40 – Debate com presentes dando preferência na inscrição dos Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Odila Paiva de Souza – SPTrans – Diretoria Planejamento Adauto Farias – SPTrans – Diretoria Gestão Almir Chiaratto – SPTrans – Diretoria de Operações Paulo Bourroul – SMT - Jurídico ABERTURA Secretário de Transportes, Jilmar Tatto, realizou a apresentação dos pontos principais da minuta do edital para licitação de concessão do transporte público da cidade de São Paulo, disponível em: Debate realizado com as seguintes colocações: DEBATE (este espaço contempla a digitação dos formulários preenchidos pelos participantes do debates, e não a transcrição de suas falas) Nome: Mauricio Broinizi Pereira Organização: Rede Nossa São Paulo Resumo da Fala: - Agradecimento do Secretário pelo adiamento do prazo da consulta pública do edital. [...] Nome: Élio Jovart Bueno de Camargo Organização: CMTT Oeste – GT Mobilidade Butantã Resumo da Fala: Assegurar um sistema otimizado e eficiente do transporte público: (junto com as novas concessões) 1 – Assegurar horários: - Ter via livre – poucos corredores (150 Km); - Avenidas com faixa na esquerda; - Faixa direita totalmente restrita; - Eliminar gargalos de trajeto (túnel faixa 9 de julho); - Uso do pré-embarque nas faixas da esquerda / terminais; 2 – Otimizar tempo de deslocamento; - Transferências e pontos nas esquinas e simultâneos; - Faróis sincronizados com ônibus; - Conceito de expresso nas linhas de reforço com trajeto e operação otimizada (pontos seletivos / ultrapassagens sem faixa adicional); 3 – Otimizar trajetos - Diretos aos destinos; - Eliminar gargalos; - Usar conversão controlada à esquerda; - Usar ligação leste / oeste para ônibus também; - Segregar faixas nas marginais; - Usar conceito de linhas regulares com embarque e desembarque em todo trajeto; - Eliminar ponto final no centro; - Introduzir esses pontos no edital assegurando sua realização."
14_2015_Pleno_ordin_ata.pdf;14ª Reunião Ordinária;2015;Mobilidade Ativa: Bicicletas;4;16.7;bicicleta, ciclista, ciclovia;Nome: Odir Zuge Junior Organização: Conselheiro Ciclista Resumo da Fala: Intermobilidade. [...] Baia nas ciclovias para possível embarque DEF fora de ponto.
14_2015_Pleno_ordin_ata.pdf;14ª Reunião Ordinária;2015;Estrutura e Organização da Rede Viária;3;12.5;semaforo, via;"Nome: Élio Jovart Bueno de Camargo Organização: CMTT Oeste – GT Mobilidade Butantã Resumo da Fala: Assegurar um sistema otimizado e eficiente do transporte público: (junto com as novas concessões) 1 – Assegurar horários: - Ter via livre – poucos corredores (150 Km); - Avenidas com faixa na esquerda; - Faixa direita totalmente restrita; - Eliminar gargalos de trajeto (túnel faixa 9 de julho); - Uso do pré-embarque nas faixas da esquerda / terminais; 2 – Otimizar tempo de deslocamento; - Transferências e pontos nas esquinas e simultâneos; - Faróis sincronizados com ônibus; - Conceito de expresso nas linhas de reforço com trajeto e operação otimizada (pontos seletivos / ultrapassagens sem faixa adicional); 3 – Otimizar trajetos - Diretos aos destinos; - Eliminar gargalos; - Usar conversão controlada à esquerda; - Usar ligação leste / oeste para ônibus também; - Segregar faixas nas marginais; - Usar conceito de linhas regulares com embarque e desembarque em todo trajeto; - Eliminar ponto final no centro; - Introduzir esses pontos no edital assegurando sua realização. [...] CONSIDERAÇÕES DOS COMPONENTES DA MESA, EM RESPOSTA AOS QUESTIONAMENTOS REALIZADOS: Paulo Bourroul: Fez colocações sobre cláusulas contratuais e prazos de execução Prazo para Instalçao do CCO: 12 meses Ana Odila Paiva de Souza: Propostas estão sendo contempladas para a garantia de regularidade A instalação do CCO é fundamental para a garantia de regularidade A sugestão de faixas exclusivas a esquerda são interessantes, porém mexem muito com a infra estrutura da cidade no que tange o transporte público - Via Livre ( VEIO) – Via exclusiva de interesse dos ônibus O pré embarque já é realizado em diversos terminais Pontos de ônibus em esquinas já estão sendo contemplado no desenho da nova rede, sendo estes os chamados pontos de conexão."
14_2015_Pleno_ordin_ata.pdf;14ª Reunião Ordinária;2015;Composição e Governança do Conselho;2;8.3;conselheiro, conselho;RELATÓRIO 14ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 20/08/2015 Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h10 – Apresentação da minuta do edital para licitação de concessão do transporte público da cidade de São Paulo, que se encontra em consulta pública 09h40 – Debate com presentes dando preferência na inscrição dos Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Odila Paiva de Souza – SPTrans – Diretoria Planejamento Adauto Farias – SPTrans – Diretoria Gestão Almir Chiaratto – SPTrans – Diretoria de Operações Paulo Bourroul – SMT - Jurídico ABERTURA Secretário de Transportes, Jilmar Tatto, realizou a apresentação dos pontos principais da minuta do edital para licitação de concessão do transporte público da cidade de São Paulo, disponível em: Debate realizado com as seguintes colocações: DEBATE (este espaço contempla a digitação dos formulários preenchidos pelos participantes do debates, e não a transcrição de suas falas) Nome: Mauricio Broinizi Pereira Organização: Rede Nossa São Paulo Resumo da Fala: - Agradecimento do Secretário pelo adiamento do prazo da consulta pública do edital. [...] Nome: Odir Zuge Junior Organização: Conselheiro Ciclista Resumo da Fala: Intermobilidade.
15_2015_Pleno_ordin_ata.pdf;15ª Reunião Ordinária;2015;Estrutura e Organização da Rede Viária;16;19.8;cet, corredor, semaforo, via;RELATÓRIO 15ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 29/10/2015 Reunião dos Conselhos Administrativos ( CONSADs CET e SPTrans) Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Programa de Redução de Acidentes e Mortes no Trânsito 10h35 – Debate dos presentes dando preferência a inscrição de Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Carolina – Representante da Câmara Temática de Mobilidade a Pé Antonio Prestes – Diretor do DTC - Divisão de Transporte de Cargas Josias Lech – Secretário Executivo do CMTT ABERTURA O presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Flávio Scavasin Organização: Vila Jatai (Bairro da Z. [...] É fundamental, para ruas mais estreitas dos bairros, que sejam disponibilizados micro ônibus circulares que desloquem moradores às estações de trem e metrô, corredores de ônibus, assim como escolas e locais de comércio.
15_2015_Pleno_ordin_ata.pdf;15ª Reunião Ordinária;2015;Transporte Público Coletivo;15;18.5;onibus, sptrans, transporte coletivo;RELATÓRIO 15ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 29/10/2015 Reunião dos Conselhos Administrativos ( CONSADs CET e SPTrans) Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Programa de Redução de Acidentes e Mortes no Trânsito 10h35 – Debate dos presentes dando preferência a inscrição de Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Carolina – Representante da Câmara Temática de Mobilidade a Pé Antonio Prestes – Diretor do DTC - Divisão de Transporte de Cargas Josias Lech – Secretário Executivo do CMTT ABERTURA O presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Flávio Scavasin Organização: Vila Jatai (Bairro da Z. [...] É fundamental, para ruas mais estreitas dos bairros, que sejam disponibilizados micro ônibus circulares que desloquem moradores às estações de trem e metrô, corredores de ônibus, assim como escolas e locais de comércio.
15_2015_Pleno_ordin_ata.pdf;15ª Reunião Ordinária;2015;Mobilidade Ativa: Acessibilidade e Pedestres;12;14.8;calcada, pedestre;"Oeste) Resumo da fala: Os atuais motoristas não profissionais de automóveis, em grande parte, certamente deixarão de utilizar diariamente os seus veículos caso tenham transporte público adequado e de qualidade, sem esquecer de calçadas melhores e acessíveis. [...] Camargo Organização: CMTT – Rede Butantã Resumo da fala: Implantar faixas preferenciais para taxi com passageiros, ônibus fretados com passageiros, van escolar com passageiros, veículos oficiais e veículos comuns com 3 pessoas, em todas vias de no mínimo 3 faixas, sendo uma exclusiva para ônibus públicos regulares; CET realizar campanhas para deixar claro a preferência do pedestre nas conversões dos veículos, já que 90% das esquinas da cidade não tem faixas."
15_2015_Pleno_ordin_ata.pdf;15ª Reunião Ordinária;2015;Segurança Viária;9;11.1;acidente, seguranca;"RELATÓRIO 15ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 29/10/2015 Reunião dos Conselhos Administrativos ( CONSADs CET e SPTrans) Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Programa de Redução de Acidentes e Mortes no Trânsito 10h35 – Debate dos presentes dando preferência a inscrição de Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Carolina – Representante da Câmara Temática de Mobilidade a Pé Antonio Prestes – Diretor do DTC - Divisão de Transporte de Cargas Josias Lech – Secretário Executivo do CMTT ABERTURA O presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Flávio Scavasin Organização: Vila Jatai (Bairro da Z. [...] Derli Valadares da Rocha Organização: IECF – Instituto de Ética e Comportamento no Trânsito Email: contato@iecf.org.br / presidente@iecf.org.br Resumo da fala: Segurança rodoviária; Velocidade fator decisivo; Estudo do departamento de tráfego britânico sobre velocidade; Custos econômicos."
15_2015_Pleno_ordin_ata.pdf;15ª Reunião Ordinária;2015;Composição e Governança do Conselho;8;9.9;conselheiro, conselho, representante;RELATÓRIO 15ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT 29/10/2015 Reunião dos Conselhos Administrativos ( CONSADs CET e SPTrans) Realizada no Conselho Regional e Contabilidade- CRC – Rua Rosa e Silva- 60 Programação: 08h30 - Recepção dos conselheiros e convidados 08h45 - Abertura (com 50% mais um dos conselheiros) 09h00 - Abertura (com qualquer número de conselheiros presentes) 09h05 – Palavra livre 09h35 – Programa de Redução de Acidentes e Mortes no Trânsito 10h35 – Debate dos presentes dando preferência a inscrição de Conselheiros 11h00 – Previsão de Encerramento Composição da Mesa: Jilmar Tatto – presidente CMTT Ana Carolina – Representante da Câmara Temática de Mobilidade a Pé Antonio Prestes – Diretor do DTC - Divisão de Transporte de Cargas Josias Lech – Secretário Executivo do CMTT ABERTURA O presidente Jilmar Tatto realizou a abertura dando início à palavra livre PALAVRA LIVRE Flávio Scavasin Organização: Vila Jatai (Bairro da Z. [...] Coordenação das subprefeituras, Conselho Municipal da Pessoa com Deficiência.
